trial_type,onset,perfect
fix,55893.466835,55902.466835
movie,55909.888883,55909.466835
movie,55916.472244,55916.466835
movie,55923.470219,55923.466835
movie,55930.472818,55930.466835
movie,55937.471150,55937.466835
movie,55944.470990,55944.466835
movie,55951.470552,55951.466835
movie,55958.469964,55958.466835
movie,55965.471498,55965.466835
movie,55972.471071,55972.466835
movie,55979.473787,55979.466835
movie,55986.472058,55986.466835
movie,,
 ,,
 ,,
fix,,
 ,,
 ,,
 ,,
 ,,
 ,,
 ,,
 ,,
 ,,
 ,,
 ,,
 ,,
 ,,
 ,,
 ,,
 ,,
fix,,
