trial_type,onset
fix,339229.326689,339238.326689
movie,339245.775754,339245.326689
movie,339252.329692,339252.326689
movie,339259.328597,339259.326689
movie,339266.329131,339266.326689
movie,339273.329487,339273.326689
movie,339280.329404,339280.326689
audio,339287.327519,339287.326689
audio,339294.326938,339294.326689
audio,339301.327084,339301.326689
movie,339308.329664,339308.326689
movie,339315.329211,339315.326689
movie,339322.328664,339322.326689
movie,339329.329202,339329.326689
movie,339336.328800,339336.326689
movie,339343.329423,339343.326689
fix,339350.327508,339350.326689
movie,339366.736423,339366.326689
movie,339373.328804,339373.326689
movie,339380.328770,339380.326689
movie,339387.328812,339387.326689
movie,339394.329057,339394.326689
movie,339401.328761,339401.326689
audio,339408.326801,339408.326689
audio,339415.327150,339415.326689
audio,339422.327104,339422.326689
movie,339429.329222,339429.326689
movie,339436.329326,339436.326689
movie,339443.328695,339443.326689
movie,339450.329303,339450.326689
movie,339457.329103,339457.326689
movie,339464.328639,339464.326689
fix,339471.326996,339471.326689
