color,file,item,gesture,actor,story,clip within story,NA/NF/audio,list,condition,run
green,46_NG_JH_XX_9_NF.ogv,46,NG,JH,XX,9,NF,5,D,2
red,76_NG_ST_XX_1_NF.ogv,76,NG,ST,XX,1,NF,5,D,2
orange,141_NG_VS_XX_10_NF.ogv,141,NG,VS,XX,10,NF,5,D,2
purple,69_G_MY_Hood_3.ogg,69,G,MY,Hood,3,audio,5,E,2
blue,34_G_DS_Mother_3.ogg,34,G,DS,Mother,3,audio,5,E,2
green,54_G_JH_Princess_1.ogg,54,G,JH,Princess,1,audio,5,E,2
orange,137_G_VS_Frog_2_NA.ogv,137,G,VS,Frog,2,NA,5,A,2
purple,57_G_MY_Bee_1_NA.ogv,57,G,MY,Bee,1,NA,5,A,2
green,52_G_JH_Mother_3_NA.ogv,52,G,JH,Mother,3,NA,5,A,2
green,43_G_JH_Frog_2_NF.ogv,43,G,JH,Frog,2,NF,5,B,2
purple,68_G_MY_Hood_2_NF.ogv,68,G,MY,Hood,2,NF,5,B,2
none,128_G_TK_Mother_3_NF.ogv,128,G,TK,Mother,3,NF,5,B,2
yellow,05_NG_CG_XX_5_NA.ogv,5,NG,CG,XX,5,NA,5,C,2
purple,70_NG_MY_XX_14_NA.ogv,70,NG,MY,XX,14,NA,5,C,2
blue,35_NG_DS_XX_16_NA.ogv,35,NG,DS,XX,16,NA,5,C,2
orange,140_NG_VS_XX_9_NA.ogv,140,NG,VS,XX,9,NA,5,C,2
none,125_NG_TK_XX_12_NA.ogv,125,NG,TK,XX,12,NA,5,C,2
green,45_NG_JH_XX_8_NA.ogv,45,NG,JH,XX,8,NA,5,C,2
red,88_G_ST_Mother_1_NF.ogv,88,G,ST,Mother,1,NF,5,B,2
blue,23_G_DS_Bee_4_NF.ogv,23,G,DS,Bee,4,NF,5,B,2
yellow,18_G_CG_Princess_2_NF.ogv,18,G,CG,Princess,2,NF,5,B,2
grey,97_G_SV_Bee_3_NA.ogv,97,G,SV,Bee,3,NA,5,A,2
blue,27_G_DS_Frog_4_NA.ogv,27,G,DS,Frog,4,NA,5,A,2
red,87_G_ST_Hood_4_NA.ogv,87,G,ST,Hood,4,NA,5,A,2
grey,99_G_SV_Frog_1.ogg,99,G,SV,Frog,1,audio,5,E,2
red,84_G_ST_Hood_1.ogg,84,G,ST,Hood,1,audio,5,E,2
none,114_G_TK_Bee_1.ogg,114,G,TK,Bee,1,audio,5,E,2
yellow,06_NG_CG_XX_6_NF.ogv,6,NG,CG,XX,6,NF,5,D,2
none,131_NG_TK_XX_18_NF.ogv,131,NG,TK,XX,18,NF,5,D,2
grey,111_NG_SV_XX_17_NF.ogv,111,NG,SV,XX,17,NF,5,D,2
